,Quarter,Time,Tm,Detail,DEN,NWE
0,1.0,3:08,Patriots,Wes Welker 8 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,2.0,14:05,Broncos,Joel Dreessen 1 yard pass from Peyton Manning (Matt Prater kick),7,7
2,2.0,7:57,Patriots,Shane Vereen 1 yard rush (Stephen Gostkowski kick),7,14
3,2.0,0:02,Patriots,Stephen Gostkowski 23 yard field goal,7,17
4,3.0,5:00,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),7,24
5,3.0,4:42,Patriots,Stevan Ridley 8 yard rush (Stephen Gostkowski kick),7,31
6,3.0,1:08,Broncos,Eric Decker 2 yard pass from Peyton Manning (Matt Prater kick),14,31
7,4.0,6:43,Broncos,Brandon Stokley 5 yard pass from Peyton Manning (Matt Prater kick),21,31
