,Quarter,Tm,Detail,PHI,ATL
0,2.0,Eagles,Mike Quick 8 yard pass from Ron Jaworski (Paul McFadden kick),7,0
1,2.0,Eagles,Paul McFadden 31 yard field goal,10,0
2,4.0,Eagles,Paul McFadden 33 yard field goal,13,0
3,4.0,Eagles,Paul McFadden 21 yard field goal,16,0
