,Quarter,Time,Tm,Detail,BUF,WAS
0,1.0,9:22,Redskins,Jordan Reed 3 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
1,2.0,12:46,Redskins,Kirk Cousins 13 yard rush (Dustin Hopkins kick),0,14
2,2.0,8:47,Redskins,Jordan Reed 18 yard pass from Kirk Cousins (Dustin Hopkins kick),0,21
3,3.0,8:59,Bills,Dan Carpenter 32 yard field goal,3,21
4,3.0,8:39,Redskins,DeSean Jackson 77 yard pass from Kirk Cousins (Dustin Hopkins kick),3,28
5,3.0,6:48,Bills,Mike Gillislee 60 yard rush (Dan Carpenter kick),10,28
6,3.0,3:48,Bills,Sammy Watkins 48 yard pass from Tyrod Taylor (Dan Carpenter kick),17,28
7,4.0,11:16,Redskins,Pierre Garcon 5 yard pass from Kirk Cousins (Dustin Hopkins kick),17,35
8,4.0,1:26,Bills,Sammy Watkins 20 yard pass from Tyrod Taylor (Tyrod Taylor run),25,35
