,Quarter,Tm,Detail,CIN,SDG
0,1.0,Bengals,Speedy Thomas 16 yard rush (Horst Muhlmann kick),7,0
1,1.0,Chargers,Brad Hubbert 8 yard rush (Dennis Partee kick),7,7
2,2.0,Chargers,Brad Hubbert 2 yard rush (Dennis Partee kick),7,14
3,3.0,Bengals,Bob Trumpy 62 yard pass from Sam Wyche (Horst Muhlmann kick),14,14
4,4.0,Chargers,Brad Hubbert 1 yard rush (Dennis Partee kick),14,21
