,Quarter,Tm,Detail,GNB,CHI
0,3,Bears,George McAfee 34 yard pass from Bobby Layne (Al Lawler kick),0,7
1,4,Packers,Nolan Luhn 13 yard pass from Jack Jacobs,6,7
