,Quarter,Time,Tm,Detail,NYJ,DEN
0,1.0,11:24,Broncos,Jason Elam 26 yard field goal,0,3
1,1.0,9:50,Jets,Keyshawn Johnson 26 yard pass from Rick Mirer (John Hall kick),7,3
2,1.0,8:12,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),7,10
3,2.0,0:18,Broncos,Jason Elam 51 yard field goal,7,13
4,4.0,10:52,Jets,Curtis Martin 2 yard rush (John Hall kick),14,13
5,4.0,5:57,Jets,Dedric Ward 16 yard pass from Rick Mirer (John Hall kick),21,13
