,Quarter,Tm,Detail,GNB,DAL
0,1.0,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),7,0
1,1.0,Cowboys,Michael Irvin 61 yard pass from Troy Aikman (Eddie Murray kick),7,7
2,1.0,Cowboys,Eddie Murray 33 yard field goal,7,10
3,2.0,Cowboys,Eddie Murray 19 yard field goal,7,13
4,2.0,Cowboys,Eddie Murray 19 yard field goal,7,16
5,3.0,Cowboys,Eddie Murray 50 yard field goal,7,19
6,3.0,Cowboys,Emmitt Smith 22 yard rush (Eddie Murray kick),7,26
7,3.0,Packers,Robert Brooks 95 yard kickoff return (Chris Jacke kick),14,26
8,3.0,Cowboys,Eddie Murray 48 yard field goal,14,29
9,4.0,Cowboys,Derrick Lassic 1 yard rush (Eddie Murray kick),14,36
