,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Sonny Randle 4 yard pass from George Mira (Tommy Davis kick),0,7
1,1.0,Cowboys,Danny Villanueva 25 yard field goal,3,7
2,2.0,49ers,John David Crow 18 yard pass from George Mira (Tommy Davis kick),3,14
3,2.0,49ers,Gary Lewis 32 yard pass from George Mira (Tommy Davis kick),3,21
4,3.0,49ers,Tommy Davis 37 yard field goal,3,24
5,4.0,Cowboys,Craig Baynham 1 yard rush,9,24
6,4.0,Cowboys,Lance Rentzel 14 yard pass from Craig Morton (Danny Villanueva kick),16,24
