,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,9:32,Falcons,Younghoe Koo 37 yard field goal,3,0
1,1.0,4:13,Saints,Wil Lutz 29 yard field goal,3,3
2,2.0,11:13,Falcons,Austin Hooper 8 yard pass from Matt Ryan (Younghoe Koo kick),10,3
3,2.0,1:35,Falcons,Younghoe Koo 36 yard field goal,13,3
4,2.0,0:05,Saints,Wil Lutz 47 yard field goal,13,6
5,3.0,6:09,Saints,Wil Lutz 28 yard field goal,13,9
6,4.0,15:00,Falcons,Brian Hill 10 yard pass from Matt Ryan (Younghoe Koo kick),20,9
7,4.0,7:33,Falcons,Younghoe Koo 48 yard field goal,23,9
8,4.0,2:35,Falcons,Younghoe Koo 30 yard field goal,26,9
