,Quarter,Tm,Detail,DET,PHI
0,1.0,Lions,Jeff Chadwick 72 yard pass from Joe Ferguson (Eddie Murray kick),7,0
1,2.0,Eagles,Paul McFadden 33 yard field goal,7,3
2,2.0,Eagles,"Safety, Brown tackled Ferguson in end zone",7,5
3,4.0,Eagles,Paul McFadden 28 yard field goal,7,8
4,4.0,Lions,Eddie Murray 38 yard field goal,10,8
5,4.0,Eagles,Paul McFadden 25 yard field goal,10,11
6,4.0,Lions,Eddie Murray 41 yard field goal,13,11
