,Quarter,Tm,Detail,RCH,FRN
0,1.0,Yellow Jackets,Eddie Doyle 32 yard pass from Tex Hamer,0,7
1,1.0,Yellow Jackets,Jack Storer 5 yard rush (Russ Stein kick),0,14
2,1.0,Yellow Jackets,Jack Finn 3 yard rush (Russ Stein kick),0,21
