,Quarter,Time,Tm,Detail,DET,TAM
0,1.0,,Lions,Bennie Blades 98 yard interception return (Jason Hanson kick),7,0
1,2.0,,Lions,Jason Hanson 20 yard field goal,10,0
2,2.0,,Lions,Johnnie Morton 31 yard pass from Scott Mitchell (Jason Hanson kick),17,0
3,4.0,,Lions,Jason Hanson 29 yard field goal,20,0
4,4.0,,Lions,Herman Moore 3 yard pass from Scott Mitchell (Jason Hanson kick),27,0
