,Quarter,Tm,Detail,RAM,PHI
0,2.0,Rams,Jim Benton 27 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,2.0,Eagles,Jack Ferrante 74 yard pass from Roy Zimmerman (Roy Zimmerman kick),7,7
2,3.0,Eagles,Roy Zimmerman 1 yard rush (Roy Zimmerman kick),7,14
3,4.0,Eagles,Mel Bleeker 1 yard rush (Roy Zimmerman kick),7,21
4,4.0,Eagles,Flip McDonald 21 yard pass from Allie Sherman (Roy Zimmerman kick),7,28
5,4.0,Rams,Harvey Jones 44 yard pass from Bob Waterfield (Bob Waterfield kick),14,28
