,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Matt Bahr 29 yard field goal,3,0
1,1.0,Steelers,Louis Lipps 61 yard pass from Mark Malone (Gary Anderson kick),3,7
2,2.0,Steelers,Gary Anderson 40 yard field goal,3,10
3,2.0,Browns,Matt Bahr 49 yard field goal,6,10
4,2.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),6,17
5,2.0,Browns,Ricky Feacher 16 yard pass from Paul McDonald (Matt Bahr kick),13,17
6,3.0,Steelers,Gary Anderson 22 yard field goal,13,20
7,4.0,Browns,Paul McDonald 3 yard rush (Matt Bahr kick),20,20
8,4.0,Steelers,Gary Anderson 34 yard field goal,20,23
