,Quarter,Time,Tm,Detail,CLE,TAM
0,1.0,9:01,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),0,7
1,2.0,2:41,Buccaneers,Martin Gramatica 33 yard field goal,0,10
2,4.0,14:51,Buccaneers,Mike Alstott 17 yard rush (Martin Gramatica kick),0,17
3,4.0,11:45,Browns,Phil Dawson 50 yard field goal,3,17
