,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Tony Nathan 20 yard pass from Don Strock (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Larry Csonka 3 yard rush (Uwe von Schamann kick),0,14
2,2.0,Jets,Woody Bennett 1 yard rush,6,14
3,3.0,Jets,Bruce Harper 72 yard pass from Richard Todd (Dave Jacobs kick),13,14
4,3.0,Jets,Scott Dierking 1 yard rush (Dave Jacobs kick),20,14
5,3.0,Dolphins,Uwe von Schamann 25 yard field goal,20,17
6,4.0,Jets,Mickey Shuler 4 yard pass from Richard Todd (Dave Jacobs kick),27,17
7,4.0,Dolphins,Bob Torrey 1 yard rush (Uwe von Schamann kick),27,24
