,Quarter,Tm,Detail,MIN,DAL
0,1.0,Cowboys,Amos Marsh 6 yard rush (Allen Green kick),0,7
1,2.0,Cowboys,Don Meredith 20 yard rush (Allen Green kick),0,14
2,2.0,Vikings,Tommy Mason 4 yard rush (Mike Mercer kick),7,14
3,4.0,Cowboys,Amos Marsh 20 yard pass from Don Meredith (Allen Green kick),7,21
