,Quarter,Tm,Detail,KEN,MIL
0,2.0,Badgers,Dinger Doane unknown yard rush (Red Dunn kick),0,7
1,2.0,Badgers,Hal Erickson unknown yard pass from Jimmy Conzelman (Red Dunn kick),0,14
2,3.0,Badgers,Hal Erickson 35 yard pass from Jimmy Conzelman (Red Dunn kick),0,21
