,Quarter,Time,Tm,Detail,DAL,CHI
0,1.0,6:07,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),7,0
1,2.0,12:17,Bears,Allen Robinson 5 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,7
2,2.0,8:10,Bears,Eddy Pineiro 36 yard field goal,7,10
3,2.0,0:14,Bears,Allen Robinson 8 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,17
4,3.0,8:23,Bears,Anthony Miller 14 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,24
5,4.0,15:00,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),14,24
6,4.0,13:28,Bears,Mitchell Trubisky 23 yard rush (Eddy Pineiro kick),14,31
7,4.0,4:34,Cowboys,Amari Cooper 19 yard pass from Dak Prescott (Brett Maher kick),21,31
8,4.0,0:12,Cowboys,Brett Maher 31 yard field goal,24,31
