,Quarter,Tm,Detail,BOS,SDG
0,1.0,Chargers,Dickie Post 4 yard rush (Dennis Partee kick),0,7
1,2.0,Patriots,Gino Cappelletti 34 yard field goal,3,7
2,2.0,Chargers,Marty Domres 1 yard rush (Dennis Partee kick),3,14
3,3.0,Chargers,Gary Garrison 17 yard pass from John Hadl (Dennis Partee kick),3,21
4,3.0,Chargers,Lance Alworth 76 yard pass from John Hadl (Dennis Partee kick),3,28
5,4.0,Patriots,Jim Nance 9 yard rush (Gino Cappelletti kick),10,28
6,4.0,Patriots,Jim Nance 3 yard rush (two point run successful),18,28
