,Quarter,Time,Tm,Detail,BUF,CAR
0,1.0,4:36,Bills,Marshawn Lynch 7 yard rush (Rian Lindell kick),7,0
1,2.0,9:06,Panthers,"Safety, Hollis Thomas tackled Fred Jackson in end zone.",7,2
2,4.0,13:52,Bills,Lee Evans 2 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,2
3,4.0,9:50,Bills,Rian Lindell 29 yard field goal,17,2
4,4.0,6:34,Panthers,DeAngelo Williams 15 yard rush (John Kasay kick),17,9
5,4.0,1:56,Bills,Rian Lindell 22 yard field goal,20,9
