,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Pat Harder 26 yard field goal,0,3
1,1.0,Packers,Bill Reichardt 37 yard field goal,3,3
2,2.0,Lions,Cloyce Box 5 yard pass from Bobby Layne (Pat Harder kick),3,10
3,2.0,Lions,Leon Hart 9 yard pass from Bobby Layne (Pat Harder kick),3,17
4,2.0,Packers,Billy Howton 6 yard pass from Tobin Rote (Fred Cone kick),10,17
5,2.0,Lions,Cloyce Box 33 yard pass from Bobby Layne (Pat Harder kick),10,24
6,2.0,Packers,Billy Howton 4 yard pass from Tobin Rote (Fred Cone kick),17,24
7,3.0,Lions,Cloyce Box 4 yard pass from Bob Hoernschemeyer (Pat Harder kick),17,31
8,3.0,Packers,Billy Howton 54 yard pass from Tobin Rote (Fred Cone kick),24,31
9,4.0,Lions,Pat Harder 26 yard field goal,24,34
10,4.0,Lions,Pat Harder 1 yard rush (Pat Harder kick),24,41
11,4.0,Lions,Leon Hart 6 yard pass from Jim Hardy (Jim Hardy kick),24,48
