,Quarter,Time,Tm,Detail,PHI,MIA
0,1.0,6:05,Dolphins,Olindo Mare 37 yard field goal,0,3
1,1.0,1:04,Dolphins,J.J. Johnson 18 yard rush (Olindo Mare kick),0,10
2,2.0,11:10,Eagles,David Akers 53 yard field goal,3,10
3,2.0,6:26,Dolphins,Olindo Mare 37 yard field goal,3,13
4,3.0,3:47,Eagles,Brian Dawkins 67 yard interception return (Norm Johnson kick),10,13
5,4.0,14:55,Dolphins,Olindo Mare 53 yard field goal,10,16
6,4.0,6:08,Eagles,Norm Johnson 44 yard field goal,13,16
