,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,6:21,49ers,Terrell Owens 56 yard pass from Jeff Garcia (Jose Cortez kick),7,0
1,1.0,2:50,49ers,Terrell Owens 60 yard pass from Jeff Garcia (Jose Cortez kick),14,0
2,2.0,8:20,49ers,Terry Jackson 6 yard pass from Jeff Garcia (Jose Cortez kick),21,0
3,3.0,7:28,49ers,Jose Cortez 39 yard field goal,24,0
4,4.0,14:56,49ers,J.J. Stokes 6 yard pass from Jeff Garcia (Jose Cortez kick),31,0
5,4.0,7:45,49ers,Terry Jackson 9 yard rush (Jose Cortez kick),38,0
