,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,John Greene 24 yard pass from Dave Ryan (Bill Callihan kick),7,0
1,2.0,Bears,Bob Margarita 37 yard pass from Sid Luckman (Pete Gudauskas kick),7,7
2,2.0,Bears,Ken Kavanaugh 30 yard pass from Sid Luckman (Pete Gudauskas kick),7,14
3,3.0,Bears,Hugh Gallarneau 36 yard pass from Sid Luckman (Pete Gudauskas kick),7,21
4,3.0,Lions,Bob Westfall 1 yard rush (Bill Callihan kick),14,21
5,3.0,Bears,George Wilson 10 yard pass from Sid Luckman (Pete Gudauskas kick),14,28
6,3.0,Lions,John Greene 63 yard pass from Cotton Price (Bill Callihan kick),21,28
7,4.0,Lions,Andy Farkas 4 yard pass from Bill Callihan (Bill Callihan kick),28,28
8,4.0,Lions,Bob Westfall 2 yard rush (Bill Callihan kick),35,28
