,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Marcus Allen 15 yard pass from Joe Montana (Nick Lowery kick),7,0
1,2.0,Chargers,Natrone Means 7 yard rush (John Carney kick),7,7
2,2.0,Chiefs,Nick Lowery 37 yard field goal,10,7
3,4.0,Chargers,Anthony Miller 4 yard pass from John Friesz (John Carney kick),10,14
4,4.0,Chiefs,Marcus Allen 1 yard rush (Nick Lowery kick),17,14
