,Quarter,Time,Tm,Detail,TAM,PHI
0,1.0,10:48,Buccaneers,Martin Gramatica 36 yard field goal,3,0
1,1.0,6:18,Eagles,David Akers 26 yard field goal,3,3
2,2.0,12:17,Eagles,Chad Lewis 16 yard pass from Donovan McNabb (David Akers kick),3,10
3,2.0,6:13,Buccaneers,Martin Gramatica 32 yard field goal,6,10
4,2.0,0:35,Eagles,Duce Staley 23 yard pass from Donovan McNabb (David Akers kick),6,17
5,2.0,0:00,Buccaneers,Martin Gramatica 27 yard field goal,9,17
6,3.0,6:57,Eagles,Correll Buckhalter 25 yard rush (David Akers kick),9,24
7,4.0,2:08,Eagles,Damon Moore 59 yard interception return (David Akers kick),9,31
