,Quarter,Tm,Detail,SEA,NYG
0,1.0,Giants,Howard Cross 16 yard pass from Phil Simms (Bjorn Nittmo kick),0,7
1,3.0,Giants,Bjorn Nittmo 32 yard field goal,0,10
2,3.0,Giants,"Safety, Stouffer fumbled ball out of end zone",0,12
3,3.0,Giants,Bjorn Nittmo 32 yard field goal,0,15
4,4.0,Seahawks,Norm Johnson 42 yard field goal,3,15
