,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Guy Ruff special teams fumble recovery in end zone (Gary Anderson kick),0,7
1,1.0,Chargers,Rolf Benirschke 25 yard field goal,3,7
2,1.0,Steelers,Terry Bradshaw 1 yard rush (Gary Anderson kick),3,14
3,2.0,Chargers,James Brooks 18 yard rush (Rolf Benirschke kick),10,14
4,2.0,Chargers,Eric Sievers 10 yard pass from Dan Fouts (Rolf Benirschke kick),17,14
5,3.0,Steelers,Bennie Cunningham 2 yard pass from Terry Bradshaw (Gary Anderson kick),17,21
6,4.0,Steelers,John Stallworth 14 yard pass from Terry Bradshaw (Gary Anderson kick),17,28
7,4.0,Chargers,Kellen Winslow 8 yard pass from Dan Fouts (Rolf Benirschke kick),24,28
8,4.0,Chargers,Kellen Winslow 12 yard pass from Dan Fouts (Rolf Benirschke kick),31,28
