,Quarter,Time,Tm,Detail,CAR,CHI
0,1.0,11:50,Bears,Muhsin Muhammad 3 yard pass from Kyle Orton (Robbie Gould kick),0,7
1,1.0,5:41,Bears,Robbie Gould 33 yard field goal,0,10
2,2.0,7:52,Bears,Robbie Gould 39 yard field goal,0,13
3,4.0,8:31,Panthers,John Kasay 38 yard field goal,3,13
