,Quarter,Tm,Detail,NYG,WAS
0,2.0,Redskins,Joe Aguirre 27 yard pass from Sammy Baugh (Bob Masterson kick),0,7
1,2.0,Giants,Steve Pritko blocked punt recovery in end zone (Ward Cuff kick),7,7
2,2.0,Giants,Frank Liebel 56 yard pass from Emery Nix (Ward Cuff kick),14,7
3,3.0,Giants,Ward Cuff 20 yard rush (Ward Cuff kick),21,7
4,3.0,Giants,Ward Cuff 18 yard field goal,24,7
5,4.0,Giants,Will Walls 33 yard pass from Emery Nix (Ward Cuff kick),31,7
