,Quarter,Time,Tm,Detail,ATL,GNB
0,1.0,,Falcons,Eric Metcalf 65 yard pass from Jeff George (Morten Andersen kick),7,0
1,1.0,,Packers,Edgar Bennett 8 yard rush (Chris Jacke kick),7,7
2,1.0,,Packers,Robert Brooks 14 yard pass from Brett Favre (Chris Jacke kick),7,14
3,2.0,,Falcons,Morten Andersen 31 yard field goal,10,14
4,2.0,,Packers,Antonio Freeman 76 yard punt return,10,20
5,2.0,,Packers,Mark Chmura 2 yard pass from Brett Favre (Chris Jacke kick),10,27
6,4.0,,Falcons,J.J. Birden 27 yard pass from Jeff George (Morten Andersen kick),17,27
7,4.0,,Packers,Dorsey Levens 18 yard pass from Brett Favre (Chris Jacke kick),17,34
8,4.0,,Falcons,Morten Andersen 22 yard field goal,20,34
9,4.0,,Packers,Chris Jacke 25 yard field goal,20,37
