,Quarter,Tm,Detail,SFO,RAM
0,2.0,Rams,Jack Snow 45 yard pass from Roman Gabriel (David Ray kick),0,7
1,2.0,49ers,John Brodie 1 yard rush (Bruce Gossett kick),7,7
2,2.0,Rams,Willie Ellison 1 yard rush (David Ray kick),7,14
3,3.0,Rams,David Ray 15 yard field goal,7,17
4,3.0,Rams,Jack Snow 57 yard pass from Roman Gabriel (David Ray kick),7,24
5,4.0,Rams,Larry Smith 1 yard rush (David Ray kick),7,31
