,Quarter,Time,Tm,Detail,CLE,TAM
0,1.0,2:48,Browns,Mohamed Massaquoi 41 yard pass from Jake Delhomme (Phil Dawson kick),7,0
1,1.0,0:50,Buccaneers,Connor Barth 49 yard field goal,7,3
2,2.0,5:35,Browns,Peyton Hillis 10 yard rush (Phil Dawson kick),14,3
3,2.0,0:18,Buccaneers,Mike Williams 3 yard pass from Josh Freeman (Connor Barth kick),14,10
4,4.0,6:45,Buccaneers,Micheal Spurlock 33 yard pass from Josh Freeman (Connor Barth kick),14,17
