,Quarter,Tm,Detail,IND,ATL
0,1.0,Falcons,Keith Williams 32 yard pass from Turk Schonert (Ali Haji-Sheikh kick),0,7
1,1.0,Colts,Albert Bentley 2 yard rush (Dean Biasucci kick),7,7
2,1.0,Falcons,Charlie Brown 14 yard pass from Turk Schonert (Ali Haji-Sheikh kick),7,14
3,2.0,Falcons,Ali Haji-Sheikh 19 yard field goal,7,17
4,3.0,Colts,Matt Bouza 7 yard pass from Gary Hogeboom (Dean Biasucci kick),14,17
5,3.0,Falcons,Ali Haji-Sheikh 45 yard field goal,14,20
6,4.0,Falcons,Ali Haji-Sheikh 26 yard field goal,14,23
7,4.0,Colts,Bill Brooks 2 yard pass from Gary Hogeboom (Dean Biasucci kick),21,23
8,4.0,Colts,Eugene Daniel 13 yard blocked punt return (Dean Biasucci kick),28,23
