,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,Herman Heard 2 yard rush (Nick Lowery kick),0,7
1,1.0,Seahawks,Daryl Turner 49 yard pass from Dave Krieg (Norm Johnson kick),7,7
2,2.0,Chiefs,Nick Lowery 29 yard field goal,7,10
3,2.0,Chiefs,Scott Radecic 19 yard interception return (Nick Lowery kick),7,17
4,2.0,Chiefs,Henry Marshall 26 yard pass from Bill Kenney (Nick Lowery kick),7,24
5,3.0,Chiefs,Carlos Carson 25 yard pass from Bill Kenney (Nick Lowery kick),7,31
6,4.0,Chiefs,Nick Lowery 22 yard field goal,7,34
