,Quarter,Tm,Detail,DTX,GNB
0,1.0,Packers,Tony Canadeo 21 yard pass from Tobin Rote (Fred Cone kick),0,7
1,1.0,Texans,Frank Tripucka 8 yard rush (Keith Flowers kick),7,7
2,2.0,Packers,Billy Howton 50 yard pass from Babe Parilli (Fred Cone kick),7,14
3,2.0,Packers,Bob Mann 18 yard pass from Babe Parilli (Fred Cone kick),7,21
4,3.0,Packers,Tony Canadeo 10 yard rush (Fred Cone kick),7,28
5,3.0,Packers,Breezy Reid 81 yard pass from Tobin Rote (Fred Cone kick),7,35
6,3.0,Texans,Dick Hoerner 6 yard rush (Keith Flowers kick),14,35
7,4.0,Packers,Ace Loomis 45 yard interception return (Fred Cone kick),14,42
