,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,Joe Arenas 18 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,Eagles,Adrian Burk 1 yard rush (Bobby Walston kick),7,7
2,1.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),7,14
3,2.0,49ers,Gordie Soltau 39 yard field goal,7,17
4,3.0,49ers,Billy Wilson 39 yard pass from Y.A. Tittle (Gordie Soltau kick),7,24
5,3.0,Eagles,Bobby Walston 3 yard pass from Adrian Burk (Bobby Walston kick),14,24
6,4.0,49ers,Billy Wilson 37 yard pass from Y.A. Tittle (Gordie Soltau kick),14,31
7,4.0,Eagles,Pete Pihos 10 yard pass from Bobby Thomason (Al Pollard kick),21,31
