,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Sonny Grandelius 1 yard rush (Randy Clay kick),0,7
1,1.0,Giants,Bill Albright 16 yard fumble return (Randy Clay kick),0,14
2,3.0,Cardinals,Steve Romanik 1 yard rush (Pat Summerall kick),7,14
3,3.0,Giants,Ray Pelfrey 60 yard pass from Charlie Conerly (Randy Clay kick),7,21
