,Quarter,Time,Tm,Detail,NOR,DAL
0,1.0,13:09,Saints,Chris Ivory 3 yard rush (Garrett Hartley kick),7,0
1,1.0,9:11,Saints,Garrett Hartley 50 yard field goal,10,0
2,1.0,4:33,Saints,Chris Ivory 6 yard rush (Garrett Hartley kick),17,0
3,2.0,5:13,Cowboys,David Buehler 21 yard field goal,17,3
4,2.0,0:43,Saints,Garrett Hartley 45 yard field goal,20,3
5,2.0,0:00,Cowboys,David Buehler 53 yard field goal,20,6
6,3.0,14:01,Cowboys,Miles Austin 60 yard rush (David Buehler kick),20,13
7,3.0,9:30,Saints,Garrett Hartley 28 yard field goal,23,13
8,3.0,4:30,Cowboys,Marion Barber III 1 yard rush (David Buehler kick),23,20
9,4.0,5:51,Cowboys,Tashard Choice 1 yard rush (David Buehler kick),23,27
10,4.0,1:55,Saints,Lance Moore 12 yard pass from Drew Brees (Garrett Hartley kick),30,27
