,Quarter,Tm,Detail,TAM,DAL
0,1.0,Cowboys,Efren Herrera 32 yard field goal,0,3
1,1.0,Cowboys,Thomas Henderson 79 yard interception return (Efren Herrera kick),0,10
2,1.0,Cowboys,Robert Newhouse 17 yard rush (Efren Herrera kick),0,17
3,2.0,Buccaneers,Richard Wood 37 yard defensive fumble return (Allan Leavitt kick),7,17
4,2.0,Cowboys,Efren Herrera 19 yard field goal,7,20
5,3.0,Cowboys,Efren Herrera 20 yard field goal,7,23
