,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Red Hickey 31 yard pass from Jim Hardy (Bob Waterfield kick),7,0
1,1.0,Giants,Ray Poole 18 yard pass from Charlie Conerly (Len Younce kick),7,7
2,2.0,Giants,"Safety, Waterfield tackled in end zone by Poole",7,9
3,2.0,Rams,Kenny Washington 31 yard rush (Bob Waterfield kick),14,9
4,2.0,Rams,Dick Hoerner 9 yard rush (Bob Waterfield kick),21,9
5,2.0,Giants,Joe Scott 19 yard pass from Charlie Conerly (Len Younce kick),21,16
6,3.0,Rams,Bob Waterfield 19 yard field goal,24,16
7,3.0,Giants,Joe Scott 9 yard rush (Len Younce kick),24,23
8,3.0,Rams,Les Horvath 56 yard pass from Jim Hardy (Bob Waterfield kick),31,23
9,3.0,Giants,Joe Scott 99 yard kickoff return (Len Younce kick),31,30
10,3.0,Giants,Bob Dobelstein 20 yard interception return (Len Younce kick),31,37
11,4.0,Rams,Dick Hoerner 4 yard rush (Bob Waterfield kick),38,37
12,4.0,Rams,Dick Hoerner 12 yard pass from Bob Waterfield (Bob Waterfield kick),45,37
13,4.0,Rams,Don Currivan 18 yard pass from Bob Waterfield (Bob Waterfield kick),52,37
