,Quarter,Time,Tm,Detail,CLE,DAL
0,1.0,,Cowboys,Emmitt Smith 7 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,1.0,,Browns,Michael Jackson 2 yard pass from Vinny Testaverde (Matt Stover kick),7,7
2,2.0,,Browns,Matt Stover 34 yard field goal,10,7
3,4.0,,Browns,Matt Stover 32 yard field goal,13,7
4,4.0,,Browns,Matt Stover 43 yard field goal,16,7
5,4.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),16,14
6,4.0,,Browns,Matt Stover 32 yard field goal,19,14
