,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Paul Hornung 45 yard field goal,3,0
1,2.0,Bears,Willie Galimore 5 yard rush (George Blanda kick),3,7
2,3.0,Bears,Rick Casares 64 yard rush (George Blanda kick),3,14
3,3.0,Bears,Bill Bishop fumble recovery in end zone (George Blanda kick),3,21
4,4.0,Bears,George Blanda 20 yard field goal,3,24
5,4.0,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),10,24
