,Quarter,Time,Tm,Detail,IND,CIN
0,1.0,,Bengals,David Dunn 10 yard pass from Jeff Blake (Doug Pelfrey kick),0,7
1,1.0,,Colts,Jason Belser 21 yard interception return (Cary Blanchard kick),7,7
2,2.0,,Bengals,Doug Pelfrey 25 yard field goal,7,10
3,2.0,,Colts,Cary Blanchard 32 yard field goal,10,10
4,3.0,,Bengals,Ki-Jana Carter 1 yard rush (Doug Pelfrey kick),10,17
5,3.0,,Colts,Ken Dilger 1 yard pass from Jim Harbaugh (Cary Blanchard kick),17,17
6,4.0,,Bengals,Carl Pickens 2 yard pass from Jeff Blake (Doug Pelfrey kick),17,24
7,4.0,0:43,Colts,Aaron Bailey 95 yard kickoff return (Cary Blanchard kick),24,24
8,4.0,0:43,Bengals,Tony McGee 9 yard pass from Jeff Blake (Doug Pelfrey kick),24,31
