,Quarter,Time,Tm,Detail,TEN,DEN
0,1.0,0:33,Broncos,Noah Fant 9 yard pass from Drew Lock (Brandon McManus kick),0,7
1,2.0,9:27,Titans,MyCole Pruitt 1 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,7
2,4.0,13:53,Titans,Jonnu Smith 1 yard pass from Ryan Tannehill (Stephen Gostkowski kick failed),13,7
3,4.0,9:12,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),13,14
4,4.0,0:20,Titans,Stephen Gostkowski 25 yard field goal,16,14
