,Quarter,Tm,Detail,PHI,RAM
0,1.0,Eagles,Pete Pihos 40 yard pass from Tommy Thompson (Cliff Patton kick),7,0
1,2.0,Eagles,Pete Pihos 36 yard pass from Tommy Thompson (Cliff Patton kick),14,0
2,2.0,Eagles,Neill Armstrong 13 yard pass from Tommy Thompson (Cliff Patton kick),21,0
3,3.0,Eagles,Bosh Pritchard 52 yard rush (Cliff Patton kick),28,0
4,3.0,Rams,Jack Zilly 27 yard pass from Bob Waterfield (Bob Waterfield kick),28,7
5,4.0,Rams,Bill Smyth 3 yard pass from Bob Waterfield (Bob Waterfield kick),28,14
6,4.0,Rams,Bob Hoffman 1 yard rush (Bob Waterfield kick),28,21
7,4.0,Rams,Jack Zilly 20 yard pass from Bob Waterfield (Bob Waterfield kick),28,28
