,Quarter,Time,Tm,Detail,OAK,CHI
0,1.0,6:10,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick failed),6,0
1,2.0,11:05,Bears,Paul Edinger 35 yard field goal,6,3
2,2.0,7:35,Raiders,Sebastian Janikowski 36 yard field goal,9,3
3,2.0,6:19,Raiders,Sebastian Janikowski 39 yard field goal,12,3
4,2.0,1:51,Raiders,Sebastian Janikowski 32 yard field goal,15,3
5,2.0,0:00,Raiders,Sebastian Janikowski 33 yard field goal,18,3
6,3.0,5:37,Bears,Paul Edinger 50 yard field goal,18,6
7,4.0,14:53,Bears,Marty Booker 14 yard pass from Kordell Stewart (Paul Edinger kick),18,13
8,4.0,6:58,Bears,Stanley Pritchett 8 yard rush (Kordell Stewart run),18,21
9,4.0,3:30,Raiders,Sebastian Janikowski 49 yard field goal,21,21
10,4.0,0:00,Bears,Paul Edinger 48 yard field goal,21,24
