,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Fred Gehrke 4 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,1.0,Rams,Tommy Kalmanir 62 yard punt return (Bob Waterfield kick),0,14
2,3.0,Rams,Dick Hoerner 2 yard rush (Bob Waterfield kick),0,21
3,3.0,Rams,Jerry Williams 4 yard rush (Bob Waterfield kick),0,28
4,3.0,Packers,Ted Fritsch 8 yard rush (Ted Fritsch kick),7,28
5,4.0,Rams,Jerry Williams 6 yard rush (Bob Waterfield kick),7,35
