,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,,Buccaneers,Trent Dilfer 7 yard rush (Michael Husted kick),0,7
1,1.0,,Buccaneers,Karl Williams 61 yard punt return (Michael Husted kick),0,14
2,2.0,,Bears,Darnell Autry 3 yard rush (Jeff Jaeger kick),7,14
3,2.0,,Buccaneers,Karl Williams 7 yard pass from Trent Dilfer (Michael Husted kick),7,21
4,3.0,,Buccaneers,Michael Husted 20 yard field goal,7,24
5,3.0,,Buccaneers,Errict Rhett 5 yard rush (Michael Husted kick),7,31
6,4.0,,Bears,Rick Mirer 1 yard rush (Rick Mirer run),15,31
