,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,11:42,Saints,Jared Cook 38 yard pass from Drew Brees (Wil Lutz kick),0,7
1,1.0,8:31,49ers,Kendrick Bourne 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,7
2,1.0,4:58,Saints,Jared Cook 26 yard pass from Drew Brees (run failed),7,13
3,2.0,15:00,Saints,Josh Hill 3 yard pass from Drew Brees (Wil Lutz kick),7,20
4,2.0,14:57,49ers,Emmanuel Sanders 75 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,20
5,2.0,7:31,Saints,Drew Brees 1 yard rush (Wil Lutz kick),14,27
6,2.0,6:08,49ers,Raheem Mostert 35 yard pass from Emmanuel Sanders (Robbie Gould kick),21,27
7,2.0,0:45,49ers,Raheem Mostert 10 yard rush (Robbie Gould kick),28,27
8,3.0,12:41,Saints,Wil Lutz 55 yard field goal,28,30
9,3.0,9:46,49ers,George Kittle 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),35,30
10,3.0,4:56,Saints,Wil Lutz 48 yard field goal,35,33
11,4.0,9:06,49ers,Kendrick Bourne 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),42,33
12,4.0,6:12,Saints,Michael Thomas 21 yard pass from Drew Brees (Wil Lutz kick),42,40
13,4.0,2:28,49ers,Robbie Gould 41 yard field goal,45,40
14,4.0,1:00,Saints,Tre'Quan Smith 18 yard pass from Drew Brees (pass failed),45,46
15,4.0,0:02,49ers,Robbie Gould 30 yard field goal,48,46
