,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Irving Fryar 12 yard pass from Doug Flutie (Teddy Garcia kick),7,0
1,1.0,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),7,7
2,2.0,Bills,Scott Norwood 30 yard field goal,7,10
3,2.0,Patriots,John Stephens 11 yard rush,13,10
4,2.0,Bills,Scott Norwood 35 yard field goal,13,13
5,3.0,Bills,Pete Metzelaars 10 yard pass from Jim Kelly (Scott Norwood kick),13,20
6,4.0,Patriots,Bob Perryman 1 yard rush (Teddy Garcia kick),20,20
7,4.0,Bills,Scott Norwood 33 yard field goal,20,23
