,Quarter,Tm,Detail,STL,SEA
0,1.0,Cardinals,Jim Bakken 28 yard field goal,3,0
1,1.0,Seahawks,Don Bitterlich 27 yard field goal,3,3
2,2.0,Cardinals,Ike Harris 12 yard pass from Jim Hart (Jim Bakken kick),10,3
3,2.0,Cardinals,Jim Bakken 22 yard field goal,13,3
4,3.0,Cardinals,Pat Tilley 27 yard pass from Jim Hart (Jim Bakken kick),20,3
5,3.0,Cardinals,Jim Bakken 26 yard field goal,23,3
6,3.0,Seahawks,Sam McCullum 15 yard pass from Jim Zorn (Don Bitterlich kick),23,10
7,4.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),30,10
8,4.0,Seahawks,Sam McCullum 72 yard pass from Jim Zorn (Don Bitterlich kick),30,17
9,4.0,Seahawks,Jim Zorn 8 yard rush (Don Bitterlich kick),30,24
