,Quarter,Time,Tm,Detail,NYG,RAM
0,1.0,,Rams,Isaac Bruce 19 yard pass from Chris Miller (Tony Zendejas kick),0,7
1,1.0,,Giants,Rodney Hampton 27 yard rush (David Treadwell kick),7,7
2,1.0,,Rams,Troy Drayton 12 yard pass from Chris Miller (Tony Zendejas kick),7,14
3,2.0,,Giants,David Treadwell 24 yard field goal,10,14
4,2.0,,Rams,Tony Zendejas 22 yard field goal,10,17
