,Quarter,Tm,Detail,DAL,WAS
0,2.0,Cowboys,Ron Springs 8 yard pass from Danny White (Rafael Septien kick),7,0
1,3.0,Cowboys,Rafael Septien 31 yard field goal,10,0
2,3.0,Cowboys,Timmy Newsome 18 yard rush (Rafael Septien kick),17,0
3,4.0,Redskins,Mark Moseley 38 yard field goal,17,3
4,4.0,Redskins,Charlie Brown 17 yard pass from Joe Theismann (Mark Moseley kick),17,10
5,4.0,Cowboys,Ron Springs 46 yard rush (Rafael Septien kick),24,10
