,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,,Patriots,Curtis Martin 20 yard rush (Matt Bahr kick),0,7
1,1.0,,Bills,Steve Christie 23 yard field goal,3,7
2,1.0,,Bills,Steve Christie 23 yard field goal,6,7
3,2.0,,Patriots,Vincent Brisby 5 yard pass from Drew Bledsoe (Matt Bahr kick),6,14
4,2.0,,Patriots,Dave Meggett 3 yard rush (Matt Bahr kick),6,21
5,2.0,,Bills,Bill Brooks 45 yard pass from Jim Kelly (Carwell Gardner pass from Jim Kelly),14,21
6,3.0,,Patriots,Matt Bahr 39 yard field goal,14,24
7,4.0,,Patriots,Matt Bahr 24 yard field goal,14,27
