,Quarter,Time,Tm,Detail,NYG,NOR
0,1.0,13:01,Saints,Joe Horn 50 yard pass from Aaron Brooks (John Carney kick),0,7
1,1.0,7:03,Saints,John Carney 35 yard field goal,0,10
2,2.0,13:05,Giants,Visanthe Shiancoe 4 yard pass from Jesse Palmer (Matt Bryant kick),7,10
3,2.0,5:51,Saints,Joe Horn 13 yard pass from Aaron Brooks (John Carney kick),7,17
4,2.0,3:10,Saints,Fred Thomas 64 yard blocked field goal return (John Carney kick),7,24
5,3.0,7:35,Saints,Joe Horn 7 yard pass from Aaron Brooks (John Carney kick),7,31
6,3.0,7:24,Saints,Jerome Pathon 26 yard pass from Aaron Brooks (John Carney kick),7,38
7,4.0,14:55,Saints,Joe Horn 18 yard pass from Aaron Brooks (John Carney kick),7,45
