,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Derrick Gaffney 13 yard pass from Richard Todd (Dave Jacobs kick),0,7
1,2.0,Patriots,John Smith 47 yard field goal,3,7
2,2.0,Patriots,"Safety, Ramsey ran out of end zone",5,7
3,2.0,Patriots,Stanley Morgan 48 yard pass from Steve Grogan (John Smith kick),12,7
4,2.0,Jets,Tom Newton 1 yard rush (Dave Jacobs kick),12,14
5,2.0,Jets,Dave Jacobs 39 yard field goal,12,17
6,3.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),19,17
7,3.0,Jets,Richard Todd 8 yard rush (Dave Jacobs kick),19,24
8,4.0,Jets,Dave Jacobs 25 yard field goal,19,27
9,4.0,Patriots,Stanley Morgan 39 yard pass from Steve Grogan (John Smith kick),26,27
