,Quarter,Tm,Detail,GNB,PRV
0,3.0,Packers,Larry Marks 22 yard pass from Verne Lewellen (Harry O'Boyle kick),7,0
1,3.0,Steam Roller,Curly Oden 23 yard pass from Wildcat Wilson (Gus Sonnenberg kick),7,7
