,Quarter,Time,Tm,Detail,CIN,DET
0,1.0,14:37,Bengals,Corey Dillon 96 yard rush (Neil Rackers kick),7,0
1,1.0,1:24,Lions,Jason Hanson 51 yard field goal,7,3
2,2.0,9:00,Bengals,Corey Dillon 8 yard pass from Jon Kitna (Neil Rackers kick),14,3
3,2.0,3:47,Lions,Jason Hanson 24 yard field goal,14,6
4,2.0,1:53,Bengals,Darnay Scott 30 yard pass from Jon Kitna (Neil Rackers kick),21,6
5,2.0,0:21,Lions,Lamont Warren 1 yard rush (Jason Hanson kick),21,13
6,3.0,13:56,Lions,David Sloan 1 yard pass from Charlie Batch (pass failed),21,19
7,3.0,5:08,Bengals,Neil Rackers 39 yard field goal,24,19
8,3.0,0:34,Lions,David Sloan 1 yard pass from Charlie Batch (Lamont Warren pass from Charlie Batch),24,27
9,4.0,8:06,Bengals,Corey Dillon 1 yard rush (Neil Rackers kick),31,27
