,Quarter,Tm,Detail,WAS,NYJ
0,1.0,Redskins,Roy Jefferson 45 yard pass from Billy Kilmer (Curt Knight kick),7,0
1,1.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),7,7
2,2.0,Jets,Bobby Howfield 13 yard field goal,7,10
3,2.0,Redskins,Charley Taylor 70 yard pass from Billy Kilmer (Curt Knight kick),14,10
4,2.0,Redskins,Chris Hanburger 41 yard interception return (Curt Knight kick),21,10
5,3.0,Redskins,Larry Brown 89 yard pass from Billy Kilmer (Curt Knight kick),28,10
6,4.0,Jets,Don Maynard 15 yard pass from Joe Namath (Bobby Howfield kick),28,17
7,4.0,Redskins,Verlon Biggs 16 yard defensive fumble return (Curt Knight kick),35,17
