,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,10:25,49ers,Fred Beasley 4 yard pass from Jeff Garcia (Wade Richey kick),7,0
1,1.0,8:00,Falcons,Morten Andersen 43 yard field goal,7,3
2,1.0,1:47,Falcons,Morten Andersen 44 yard field goal,7,6
3,2.0,9:41,Falcons,Morten Andersen 24 yard field goal,7,9
4,2.0,5:38,Falcons,Morten Andersen 44 yard field goal,7,12
5,2.0,2:12,Falcons,Terance Mathis 44 yard pass from Chris Chandler (Morten Andersen kick),7,19
6,2.0,1:07,49ers,Fred Beasley 1 yard rush (Wade Richey kick),14,19
7,2.0,0:00,Falcons,Morten Andersen 48 yard field goal,14,22
8,3.0,14:06,Falcons,Shawn Jefferson 48 yard pass from Chris Chandler (Morten Andersen kick),14,29
9,3.0,9:10,49ers,Fred Beasley 4 yard pass from Jeff Garcia (Wade Richey kick),21,29
10,3.0,5:32,Falcons,Ashley Ambrose 36 yard interception return (Morten Andersen kick),21,36
11,4.0,2:50,49ers,Terrell Owens 6 yard pass from Jeff Garcia (Wade Richey kick),28,36
