,Quarter,Tm,Detail,KAN,BUF
0,1.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),0,7
1,1.0,Bills,O.J. Simpson 4 yard rush (Bob Chandler run),0,14
2,2.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),7,14
3,3.0,Bills,John Leypoldt 31 yard field goal,7,17
4,3.0,Bills,John Leypoldt 17 yard field goal,7,20
5,3.0,Bills,John Leypoldt 8 yard field goal,7,23
6,4.0,Chiefs,Pete Beathard 2 yard rush (Jan Stenerud kick),14,23
