,Quarter,Tm,Detail,DEN,WAS
0,1.0,Redskins,Charley Taylor 3 yard pass from Billy Kilmer (Mark Moseley kick),0,7
1,2.0,Redskins,Mark Moseley 37 yard field goal,0,10
2,2.0,Redskins,Mark Moseley 22 yard field goal,0,13
3,3.0,Broncos,Jim Turner 34 yard field goal,3,13
4,4.0,Redskins,Mark Moseley 18 yard field goal,3,16
5,4.0,Redskins,Charley Taylor 11 yard pass from Billy Kilmer (Mark Moseley kick),3,23
6,4.0,Redskins,Duane Thomas 1 yard rush (Mark Moseley kick),3,30
